iter	Passed	Remaining
549	4267	11251
550	4275	11244
551	4282	11234
552	4291	11229
553	4299	11221
554	4306	11211
555	4313	11202
556	4320	11192
557	4327	11183
558	4335	11177
559	4342	11167
560	4351	11161
561	4358	11151
562	4365	11141
563	4371	11131
564	4379	11123
565	4386	11113
566	4394	11105
567	4401	11097
568	4408	11086
569	4415	11078
570	4423	11070
571	4431	11063
572	4438	11054
573	4445	11045
574	4453	11037
575	4460	11028
576	4469	11021
577	4476	11012
578	4483	11003
579	4490	10994
580	4498	10985
581	4506	10978
582	4514	10972
583	4521	10962
584	4529	10954
585	4536	10947
586	4544	10938
587	4551	10929
588	4558	10920
589	4566	10912
590	4572	10901
591	4579	10892
592	4587	10883
593	4593	10872
594	4600	10863
595	4608	10856
596	4615	10845
597	4622	10838
598	4630	10830
599	4669	10894
600	4702	10947
601	4759	11052
602	4779	11073
603	4787	11064
604	4794	11056
605	4802	11047
606	4809	11038
607	4817	11028
608	4824	11018
609	4830	11008
610	4837	10996
611	4845	10989
612	4852	10979
613	4859	10970
614	4868	10963
615	4876	10955
616	4884	10948
617	4890	10937
618	4898	10927
619	4905	10918
620	4912	10909
621	4919	10899
622	4926	10888
623	4933	10879
624	4940	10868
625	4947	10859
626	4954	10849
627	4961	10840
628	4968	10829
629	4975	10819
630	4982	10810
631	4989	10799
632	4996	10790
633	5003	10780
634	5010	10770
635	5017	10760
636	5025	10752
637	5032	10743
638	5040	10736
639	5048	10728
640	5055	10718
641	5063	10710
642	5070	10700
643	5078	10692
644	5086	10685
645	5093	10675
646	5099	10664
647	5106	10655
648	5115	10647
649	5122	10638
650	5129	10629
651	5136	10619
652	5143	10609
653	5150	10599
654	5157	10589
655	5164	10581
656	5171	10571
657	5178	10562
658	5185	10552
659	5192	10543
660	5200	10533
661	5207	10524
662	5215	10516
663	5222	10507
664	5230	10500
665	5237	10490
666	5244	10481
667	5252	10473
668	5260	10466
669	5267	10457
670	5274	10447
671	5282	10439
672	5289	10428
673	5296	10419
674	5303	10409
675	5310	10401
676	5318	10392
677	5324	10382
678	5332	10374
679	5339	10364
680	5345	10354
681	5353	10345
682	5360	10335
683	5366	10325
684	5374	10318
685	5382	10309
686	5389	10300
687	5396	10291
688	5403	10281
689	5411	10274
690	5419	10265
691	5426	10256
692	5432	10245
693	5438	10235
694	5446	10226
695	5453	10218
696	5461	10210
697	5469	10202
698	5477	10194
699	5484	10185
700	5492	10178
701	5499	10168
702	5507	10161
703	5515	10153
704	5521	10142
705	5529	10133
706	5536	10124
707	5544	10118
708	5551	10108
709	5558	10100
710	5565	10090
711	5572	10081
712	5581	10074
713	5587	10064
714	5595	10055
715	5603	10048
716	5610	10040
717	5618	10032
718	5626	10024
719	5633	10015
720	5641	10007
721	5649	9999
722	5656	9990
723	5663	9981
724	5670	9972
725	5679	9966
726	5686	9957
727	5695	9951
728	5703	9943
729	5709	9933
730	5717	9925
731	5724	9916
732	5731	9907
733	5739	9899
734	5746	9889
735	5753	9881
736	5761	9874
737	5769	9866
738	5777	9859
739	5785	9851
740	5793	9844
741	5800	9834
742	5809	9827
743	5816	9819
744	5824	9810
745	5830	9801
746	5837	9792
747	5845	9784
748	5852	9775
749	5859	9766
750	5866	9757
751	5874	9749
752	5881	9740
753	5889	9733
754	5896	9723
755	5904	9715
756	5911	9706
757	5918	9697
758	5925	9688
759	5933	9680
760	5940	9672
761	5947	9663
762	5956	9656
763	5963	9648
764	5971	9639
765	5978	9631
766	5985	9621
767	5993	9614
768	6000	9605
769	6007	9596
770	6014	9587
771	6020	9577
772	6028	9568
773	6036	9561
774	6042	9551
775	6050	9543
776	6058	9535
777	6065	9526
778	6072	9518
779	6079	9508
780	6086	9500
781	6094	9492
782	6101	9483
783	6108	9474
784	6116	9467
785	6123	9457
786	6130	9449
787	6138	9441
788	6145	9432
789	6152	9423
790	6159	9414
791	6167	9406
792	6174	9398
793	6181	9389
794	6189	9382
795	6197	9373
796	6205	9365
797	6211	9356
798	6218	9347
799	6225	9338
800	6232	9329
801	6239	9321
802	6246	9312
803	6254	9304
804	6261	9295
805	6270	9289
806	6277	9279
807	6284	9271
808	6291	9262
809	6298	9253
810	6305	9245
811	6312	9236
812	6319	9227
813	6327	9218
814	6333	9209
815	6340	9200
816	6348	9191
817	6355	9184
818	6363	9175
819	6370	9167
820	6377	9158
821	6385	9150
822	6391	9141
823	6398	9132
824	6405	9123
825	6413	9115
826	6420	9106
827	6427	9097
828	6435	9089
829	6442	9080
830	6450	9074
831	6458	9066
832	6464	9057
833	6472	9049
834	6479	9039
835	6486	9032
836	6494	9023
837	6502	9015
838	6508	9006
839	6515	8998
840	6522	8989
841	6529	8980
842	6537	8972
843	6544	8963
844	6551	8954
845	6558	8945
846	6567	8940
847	6575	8933
848	6583	8925
849	6590	8916
850	6597	8908
851	6606	8901
852	6613	8893
853	6620	8884
854	6628	8876
855	6635	8868
856	6642	8859
857	6650	8852
858	6658	8844
859	6665	8836
860	6673	8828
861	6681	8821
862	6688	8812
863	6697	8805
864	6704	8797
865	6711	8788
866	6719	8780
867	6725	8770
868	6732	8762
869	6739	8753
870	6747	8745
871	6754	8737
872	6761	8729
873	6769	8721
874	6777	8713
875	6784	8705
876	6792	8697
877	6799	8688
878	6805	8679
879	6812	8670
880	6820	8662
881	6829	8656
882	6836	8647
883	6843	8639
884	6851	8631
885	6859	8624
886	6866	8616
887	6874	8608
888	6881	8599
889	6888	8591
890	6895	8583
891	6903	8575
892	6910	8566
893	6917	8557
894	6924	8549
895	6932	8541
896	6939	8532
897	6946	8524
898	6953	8515
899	6959	8506
900	6966	8497
901	6972	8488
902	6980	8479
903	6987	8471
904	6994	8463
905	7002	8454
906	7009	8446
907	7016	8438
908	7023	8430
909	7032	8423
910	7039	8414
911	7047	8407
912	7054	8399
913	7061	8390
914	7067	8380
915	7074	8372
916	7082	8364
917	7088	8355
918	7096	8347
919	7103	8339
920	7110	8330
921	7118	8322
922	7125	8313
923	7132	8306
924	7140	8298
925	7147	8289
926	7154	8281
927	7162	8273
928	7169	8265
929	7177	8257
930	7184	8249
931	7192	8242
932	7199	8233
933	7207	8225
934	7214	8217
935	7221	8209
936	7229	8202
937	7236	8193
938	7243	8184
939	7251	8176
940	7258	8168
941	7265	8160
942	7273	8152
943	7280	8144
944	7287	8136
945	7296	8129
946	7303	8121
947	7310	8112
948	7317	8104
949	7324	8095
950	7332	8087
951	7339	8079
952	7346	8071
953	7354	8063
954	7361	8054
955	7367	8045
956	7374	8037
957	7381	8028
958	7388	8020
959	7396	8013
960	7404	8005
961	7412	7998
962	7420	7990
963	7427	7981
964	7433	7973
965	7440	7964
966	7447	7955
967	7454	7947
968	7461	7939
969	7468	7930
