iter	MultiClass
387	0.6780368804
388	0.67795048
389	0.6778662241
390	0.6777650208
391	0.6776595993
392	0.6775138939
393	0.677432813
394	0.6773362264
395	0.6772546836
396	0.6771773318
397	0.6770497424
398	0.6769217784
399	0.6768400933
400	0.6767558607
401	0.6766705403
402	0.6765618362
403	0.6764200038
404	0.6763076089
405	0.6762160676
406	0.6761440346
407	0.6759983508
408	0.6759291556
409	0.675806665
410	0.6757166894
411	0.6756354655
412	0.675473788
413	0.6753384758
414	0.6752145185
415	0.6751078647
416	0.6750085244
417	0.6749341898
418	0.6748609524
419	0.6747732116
420	0.6746386026
421	0.6745400935
422	0.6744761988
423	0.674372868
424	0.6742701062
425	0.6741480142
426	0.6740518579
427	0.6739759184
428	0.673873633
429	0.673787456
430	0.6737105897
431	0.6735818826
432	0.6734379268
433	0.6733381365
434	0.6732094378
435	0.6731228564
436	0.673007562
437	0.672884926
438	0.6727383966
439	0.6726427596
440	0.6725587164
441	0.6724609305
442	0.6723955937
443	0.672314818
444	0.6722738685
445	0.6721511044
446	0.6720102148
447	0.6719154704
448	0.6717023838
449	0.671626987
450	0.6714974446
451	0.6714388576
452	0.6713289381
453	0.6712606525
454	0.6711642465
455	0.6711166447
456	0.6710275082
457	0.6709387838
458	0.67085922
459	0.6707352066
460	0.6706067027
461	0.6705335272
462	0.670468485
463	0.6704083325
464	0.6703633346
465	0.6702464405
466	0.6701593601
467	0.6700366529
468	0.6699742283
469	0.669869898
470	0.6697455907
471	0.6696948214
472	0.6696113307
473	0.6695507903
474	0.6694228655
475	0.6693526494
476	0.6692219572
477	0.6691479507
478	0.6690611507
479	0.6689612285
480	0.6688596045
481	0.6687340096
482	0.6686711446
483	0.6685768124
484	0.668465837
485	0.6683821081
486	0.6683311648
487	0.6682194494
488	0.668150855
489	0.6681027953
490	0.6680256414
491	0.6679758992
492	0.6678690674
493	0.6678328015
494	0.6677769659
495	0.6677060643
496	0.6676319602
497	0.6675523904
498	0.6674917442
499	0.6674302281
500	0.6673387765
501	0.667284185
502	0.6672316913
503	0.6671610229
504	0.6670818061
505	0.6669904
506	0.6668972594
507	0.6668078371
508	0.666764053
509	0.6667089702
510	0.6666705485
511	0.6666245546
512	0.6665502433
513	0.6665022086
514	0.6664316786
515	0.6663435062
516	0.6662736701
517	0.6661950337
518	0.6661120558
519	0.6660576901
520	0.6659810821
521	0.6659035751
522	0.6657933038
523	0.6657238509
524	0.6656819106
525	0.6655986823
526	0.6655263027
527	0.6654328705
528	0.6653848896
529	0.6652975821
530	0.6652372696
531	0.6651694014
532	0.6651192092
533	0.6650135947
534	0.6649391737
535	0.6648736395
536	0.6647874251
537	0.6647111266
538	0.6646078784
539	0.66446883
540	0.6644020498
541	0.6643489911
542	0.6642763332
543	0.6642290383
544	0.6641894755
545	0.6641010967
546	0.6640534184
547	0.6640096659
548	0.6639210434
549	0.6638387588
550	0.6637760932
551	0.6637412505
552	0.6636789894
553	0.6635919295
554	0.6635272695
555	0.6634868525
556	0.6634250958
557	0.663363422
558	0.6632608309
559	0.6631789721
560	0.6630805673
561	0.6630421326
562	0.6629686482
563	0.662916671
564	0.6628421536
565	0.6627553014
566	0.6626916611
567	0.662651324
568	0.6626134009
569	0.6625487751
570	0.6624877827
571	0.6624240425
572	0.662368529
573	0.6622886476
574	0.6622334541
575	0.662163435
576	0.6620741296
577	0.6619842961
578	0.6619396416
579	0.6618875134
580	0.661823196
581	0.6617500667
582	0.6616977029
583	0.6616612572
584	0.6615263409
585	0.6614815148
586	0.6614118681
587	0.6613243639
588	0.6612692269
589	0.6612254535
590	0.6611626375
591	0.6611146079
592	0.661060095
593	0.6610268444
594	0.660972145
595	0.6608797674
596	0.6608361996
597	0.6607780561
598	0.6607326965
599	0.6606642414
600	0.6606122218
601	0.6605260215
602	0.6604914881
603	0.6604160193
604	0.6603533001
605	0.6602580332
606	0.6602133457
607	0.6601599089
608	0.6601113395
609	0.6600504564
610	0.6600147777
611	0.6599333634
612	0.6598644091
613	0.6598207464
614	0.6597591732
615	0.6596835323
616	0.6596407135
617	0.6595883231
618	0.6595485604
619	0.659487548
620	0.6594522777
621	0.6594091387
622	0.6593423415
623	0.6592617383
624	0.6592475355
625	0.65919871
626	0.6591531805
627	0.6591116568
628	0.6590731916
629	0.6590320363
630	0.6589858764
631	0.6589511812
632	0.6589111137
633	0.6588358491
634	0.658784471
635	0.6587368158
636	0.658691358
637	0.6586413061
638	0.6585509018
639	0.6584946711
640	0.6584375156
641	0.6583703777
642	0.6583133172
643	0.6582600249
644	0.6581933227
645	0.6581585327
646	0.6581214845
647	0.6580516094
648	0.6579974636
649	0.6579389072
650	0.6579074829
651	0.657844719
652	0.6578027587
653	0.657733039
654	0.657646064
655	0.6575414816
656	0.6574980875
657	0.6574686569
658	0.6574137284
659	0.6573666795
660	0.6573245185
661	0.6572696339
662	0.6571997551
663	0.6571614718
664	0.6570970619
665	0.6570544285
666	0.6569918903
667	0.6568621124
668	0.6568072012
669	0.6567576282
670	0.6567235193
671	0.6567045764
672	0.6566632441
673	0.6566078571
674	0.6565706418
675	0.6565241137
676	0.6564364913
677	0.6563954589
678	0.6563401626
679	0.6562884307
680	0.656261911
681	0.6562215968
682	0.6561752318
683	0.6561474138
684	0.6560952946
685	0.6560667668
686	0.6560066469
687	0.655963699
688	0.6559224691
689	0.6558581177
690	0.6558139531
691	0.6557570237
692	0.6557302214
693	0.6556747774
694	0.6556310405
695	0.6555793211
696	0.6555243352
697	0.6554642221
698	0.6554324733
699	0.6554033185
700	0.655308312
701	0.6552691312
702	0.6551682296
703	0.6551225269
704	0.6550806492
705	0.6550312229
706	0.6549715139
707	0.6548461308
708	0.6548080304
709	0.6547583451
710	0.6547253511
711	0.65467735
712	0.6546271404
713	0.6545889832
714	0.6545519597
715	0.6544930977
716	0.6544290688
717	0.6543755862
718	0.6543338413
719	0.6542650305
720	0.65421897
721	0.6541641994
722	0.654122995
723	0.6540244306
724	0.6539809632
725	0.6538930613
726	0.6538456049
727	0.6537314349
728	0.6537008307
729	0.6536352066
730	0.6535672918
731	0.6534918667
732	0.6534378274
733	0.6533694771
734	0.6533161586
735	0.653273462
736	0.6532232171
737	0.653173081
738	0.6531270342
739	0.6530357032
740	0.652987986
741	0.6529456667
742	0.6528767404
743	0.6527900562
744	0.652743869
745	0.6527052046
746	0.6526574999
747	0.6525903933
748	0.6525362961
749	0.6524406545
750	0.6524161186
751	0.65237439
752	0.652341952
753	0.652285933
754	0.6522455014
755	0.6521797609
756	0.652107117
757	0.6520626481
758	0.6520090757
759	0.6519039797
760	0.6518520568
761	0.6517887997
762	0.6517402383
763	0.6516950668
764	0.651665327
765	0.6515939299
766	0.6515446739
767	0.6514965359
768	0.6514398303
769	0.6513956335
770	0.6513573752
771	0.6513224281
772	0.6512722758
773	0.6512229574
774	0.6511974865
775	0.6511336205
776	0.6510843678
777	0.651030937
778	0.6509941573
779	0.6509453549
780	0.6508834553
781	0.6508429824
782	0.6507975204
783	0.6507404855
784	0.6506922447
785	0.6506660095
786	0.6506177096
787	0.6505666648
788	0.6504860746
789	0.6504641971
790	0.6504059157
791	0.6503676661
792	0.6502613405
793	0.650208201
794	0.650159444
795	0.6500965825
796	0.6500212643
797	0.6499903768
798	0.6499419952
799	0.6498893291
800	0.6498571929
801	0.6498229215
802	0.6497736883
803	0.6497245617
804	0.6496863247
805	0.6496237527
806	0.6496001762
807	0.6495515898
808	0.649525996
809	0.64949445
810	0.6494606939
811	0.6494014279
812	0.6493449463
813	0.6492765857
814	0.6492400018
815	0.6492076061
816	0.6491683442
817	0.6491132056
818	0.6490348706
819	0.6489963895
820	0.6489586363
821	0.6489097926
822	0.6488676371
823	0.6488449018
824	0.6487878334
825	0.6487476232
826	0.6486805626
827	0.6486515187
828	0.648586763
829	0.6485524083
830	0.6484749025
831	0.64843548
832	0.6484040652
833	0.6483499774
834	0.648317436
835	0.6482701913
836	0.6482196575
837	0.6481621745
838	0.6481342155
839	0.6481077087
840	0.6480818099
841	0.6480568618
842	0.6480285569
843	0.6479993427
844	0.6479570091
845	0.6479132477
846	0.6478328876
847	0.6477739188
848	0.6477324606
849	0.6476962591
850	0.6476287712
851	0.6475790672
852	0.6475504169
853	0.6475250477
854	0.6474739663
855	0.6474428767
856	0.6473873365
857	0.6473322536
858	0.6472895527
859	0.6472501053
860	0.6472284619
861	0.6471872118
862	0.6471513412
863	0.6471020319
864	0.6470558971
865	0.6470109426
866	0.646951172
867	0.6469109858
868	0.6468650312
869	0.646830738
870	0.6467634523
871	0.6467266809
872	0.6466903626
873	0.6466596485
874	0.6466055859
875	0.6465685213
876	0.6465117451
877	0.6464756784
878	0.6464398025
879	0.6464094652
880	0.6463623153
881	0.6463108317
882	0.6462747856
883	0.6462249287
884	0.6461433599
885	0.6460929998
886	0.6460488439
887	0.6460073997
888	0.6459493076
889	0.6459185999
890	0.6458899288
891	0.645854789
892	0.645827969
893	0.645773399
894	0.6457310985
895	0.6456417388
896	0.6456126132
897	0.6455766108
898	0.6455334395
899	0.6454995872
900	0.6454533501
901	0.6454267715
902	0.6454007765
903	0.6453370467
904	0.6452930264
905	0.6452637025
906	0.6452180659
907	0.6451886609
908	0.6451510001
909	0.6450890152
910	0.6450323817
911	0.6449887886
912	0.6449315746
913	0.6449088052
914	0.6448958951
915	0.6448659401
916	0.6447989523
917	0.6447683945
918	0.6447323124
919	0.6446995852
920	0.6446553596
921	0.6446215619
922	0.6445907773
923	0.6445296046
924	0.6444505446
925	0.6443934896
926	0.6443572801
927	0.6443096734
928	0.644263033
929	0.6442267116
930	0.6441872502
931	0.6441546097
932	0.6441298556
933	0.6440825792
934	0.6440005694
935	0.6439273075
936	0.6438850154
937	0.6438501469
938	0.6438151803
939	0.6437748666
940	0.6437445361
941	0.6436761752
942	0.6436343872
943	0.6435935933
944	0.6435604085
945	0.6434970787
946	0.6434652813
947	0.6434371982
948	0.643408643
949	0.6433834324
950	0.6433414564
951	0.643304032
952	0.6432653355
953	0.643221948
954	0.6431933993
955	0.6431688827
956	0.643128969
957	0.6431032425
958	0.6430592226
959	0.6430182595
960	0.6429142794
961	0.6428760709
962	0.6428311591
963	0.6427957391
964	0.6427734095
965	0.6427515885
966	0.6427270765
967	0.6426984774
968	0.6426694579
969	0.6426018936
970	0.6425737853
971	0.6425259232
972	0.6424701892
973	0.6424457585
974	0.6424071592
975	0.6423767304
976	0.6423137368
977	0.6422878604
978	0.6422496218
979	0.6422074025
980	0.6421754398
981	0.6421329332
982	0.6421059627
983	0.6420714164
984	0.6420497465
985	0.6420168295
986	0.641988558
987	0.6419491141
988	0.6418874477
989	0.6418430986
990	0.6417895432
991	0.6417423855
992	0.6416958402
993	0.6416544495
994	0.6416172749
995	0.6415600464
996	0.6415193908
997	0.6414672818
998	0.641426071
999	0.6413880516
1000	0.6413600424
1001	0.6413227722
1002	0.6412899277
1003	0.6412531058
1004	0.6412215393
1005	0.6411844392
1006	0.6411629896
1007	0.6411347968
1008	0.6410893972
1009	0.6410581187
1010	0.641012145
1011	0.6409764031
1012	0.6409427205
1013	0.6408998075
1014	0.6408659053
1015	0.6408116606
1016	0.6407831583
1017	0.6407465956
1018	0.6407203105
1019	0.6406592931
1020	0.6406076943
1021	0.6405735796
1022	0.6405218577
1023	0.6404881974
1024	0.6404496385
1025	0.6404151021
1026	0.6403794246
1027	0.6403137963
1028	0.6402538743
1029	0.6402299428
1030	0.6401659503
1031	0.6401051724
1032	0.6400849087
1033	0.640047893
1034	0.6400104812
1035	0.6399682623
1036	0.6399338518
1037	0.6399088281
1038	0.6398783163
1039	0.6398496219
1040	0.6398033618
1041	0.6397656022
1042	0.6397289621
1043	0.6396942428
1044	0.6396532109
1045	0.639606682
1046	0.6394979858
1047	0.6394662371
1048	0.6394213479
1049	0.6393953641
1050	0.6393567998
1051	0.6393316997
1052	0.6392973818
1053	0.6392444269
1054	0.6392161486
1055	0.6391555437
1056	0.639102317
1057	0.6390734423
1058	0.6390367637
1059	0.6390141154
1060	0.6389907758
1061	0.6389341603
1062	0.6389137418
1063	0.6388785202
1064	0.6388389093
1065	0.6388048289
1066	0.6387703466
1067	0.6387356652
1068	0.6386967012
1069	0.6386686097
1070	0.6386275836
1071	0.6385735551
1072	0.6385430165
1073	0.6385151552
1074	0.6384678041
1075	0.6384370099
1076	0.6383805218
1077	0.6383406776
1078	0.6383047727
1079	0.638271637
1080	0.6382131349
1081	0.6381699155
1082	0.6381327891
1083	0.6381034836
1084	0.6380720831
1085	0.6380488451
1086	0.6380190716
1087	0.6379822708
1088	0.6379443123
1089	0.6379144559
1090	0.6378857505
1091	0.6378444538
1092	0.6378214111
1093	0.637797586
1094	0.6377419207
1095	0.6377188334
1096	0.6376797009
1097	0.6376500266
1098	0.637623361
1099	0.6375891485
1100	0.6375528073
1101	0.6375124526
1102	0.6374731473
1103	0.6374273988
1104	0.637394328
1105	0.6373336622
1106	0.6373021874
1107	0.6372575581
1108	0.6372092674
1109	0.6371886843
1110	0.6371490193
1111	0.6371113907
1112	0.6370836037
1113	0.6370532495
1114	0.6370343799
1115	0.6369553756
1116	0.6369178015
1117	0.636897445
1118	0.6368574461
1119	0.6368160954
1120	0.6367878566
1121	0.6367418427
1122	0.636681027
1123	0.6366616329
1124	0.6366348868
1125	0.6365972827
1126	0.6365523179
1127	0.6365049286
1128	0.6364825335
1129	0.6364476799
1130	0.636418443
1131	0.6363797633
1132	0.6363458807
1133	0.636314549
1134	0.6362711944
1135	0.6362465743
1136	0.636211007
1137	0.6361626951
1138	0.6361189946
1139	0.6360850973
1140	0.6360510376
1141	0.6360120032
1142	0.6359375249
1143	0.6359025266
1144	0.6358663674
1145	0.6358409074
1146	0.6357934779
1147	0.6357496015
1148	0.6357254409
1149	0.6356752673
1150	0.6356406923
1151	0.6356009441
1152	0.6355301636
1153	0.6354957447
1154	0.6354607849
1155	0.6354093298
1156	0.6353562217
1157	0.6353110486
1158	0.6352833444
1159	0.6352475837
1160	0.6351832451
1161	0.6351582578
1162	0.6351139464
1163	0.6350328603
1164	0.6350059878
1165	0.6349567827
1166	0.6349124214
1167	0.634897341
1168	0.6348487607
1169	0.6348169856
1170	0.6347732964
1171	0.6347243473
1172	0.6346924124
1173	0.6346499867
1174	0.6346276134
1175	0.6345841535
1176	0.6345626314
1177	0.6345347549
1178	0.6345041726
1179	0.634469963
1180	0.6344351228
1181	0.6343813304
1182	0.6343197384
1183	0.6342901601
1184	0.6342449012
1185	0.634205073
1186	0.6341585187
1187	0.6341272684
1188	0.6340965191
1189	0.634041146
1190	0.6340235448
1191	0.6340011481
1192	0.6339571191
1193	0.6339104217
1194	0.6338466135
1195	0.6338233837
1196	0.6337865501
1197	0.6337205795
1198	0.6336792337
1199	0.6336543943
1200	0.6336309771
1201	0.6336138229
1202	0.6335759824
1203	0.6335489672
1204	0.633512065
1205	0.6334845299
1206	0.6334471683
1207	0.6334221543
1208	0.6333345699
1209	0.6332979701
1210	0.6332525405
1211	0.6332072723
1212	0.633163921
1213	0.6331221631
1214	0.6330914877
1215	0.6330536173
1216	0.6330255115
1217	0.6330005711
1218	0.6329732762
1219	0.6329301817
1220	0.6328960182
1221	0.6328540794
1222	0.6328163779
1223	0.6327847452
1224	0.6327444626
1225	0.6327039485
1226	0.6326631836
1227	0.6326290905
1228	0.6326030747
1229	0.6325659392
1230	0.6325403256
1231	0.6324930829
1232	0.6324418403
1233	0.6324106225
1234	0.6323735125
1235	0.6323313579
1236	0.6322871647
1237	0.6322241234
1238	0.6321850255
1239	0.6321396977
1240	0.6321020757
1241	0.6320525726
1242	0.6320163285
1243	0.6319843437
1244	0.6319497605
1245	0.6319236908
1246	0.6318965472
1247	0.6318552499
1248	0.6318297864
1249	0.6318000372
1250	0.6317823992
1251	0.6317366845
1252	0.6317121439
1253	0.6316923786
1254	0.6316448863
1255	0.6316189234
1256	0.6315961772
1257	0.6315622439
1258	0.6315346521
1259	0.6315080776
1260	0.6314700926
1261	0.6314331485
1262	0.631409233
1263	0.6313365304
1264	0.6312885524
1265	0.6312594336
1266	0.6312116835
1267	0.6311663381
1268	0.6311420494
1269	0.6310981922
1270	0.6310599468
1271	0.6310326132
1272	0.6309854527
1273	0.6309557536
1274	0.6309134251
1275	0.6308841829
1276	0.6308614215
1277	0.6308244899
1278	0.6307937064
1279	0.6307560642
1280	0.6307223282
1281	0.6306717846
1282	0.6306368883
1283	0.6306124625
1284	0.6305851343
1285	0.6305313398
1286	0.6305000886
1287	0.6304727038
1288	0.6304469714
1289	0.6304144346
1290	0.6303778177
1291	0.6303431715
1292	0.630300639
1293	0.6302690379
1294	0.6302433673
1295	0.6302214411
1296	0.6302025827
1297	0.6301804497
1298	0.6301281549
1299	0.6301088544
1300	0.6300894198
1301	0.6300488888
1302	0.629990851
1303	0.6299519714
1304	0.629919808
1305	0.6298961686
1306	0.6298704009
1307	0.6298472732
1308	0.6297966561
1309	0.6297624704
1310	0.6297272914
