iter	Passed	Remaining
941	7894	8866
942	7902	8857
943	7911	8849
944	7920	8842
945	7928	8833
946	7936	8825
947	7944	8815
948	7952	8806
949	7960	8798
950	7969	8790
951	7978	8782
952	7987	8775
953	7995	8766
954	8003	8757
955	8011	8748
956	8019	8740
957	8027	8731
958	8035	8722
959	8044	8715
960	8053	8706
961	8061	8698
962	8070	8690
963	8077	8680
964	8085	8672
965	8093	8662
966	8100	8653
967	8108	8644
968	8116	8635
969	8123	8626
970	8131	8617
971	8139	8608
972	8146	8598
973	8154	8589
974	8162	8581
975	8170	8572
976	8177	8562
977	8185	8553
978	8192	8544
979	8200	8535
980	8208	8526
981	8216	8517
982	8223	8508
983	8232	8499
984	8239	8490
985	8247	8481
986	8255	8472
987	8263	8464
988	8271	8455
989	8280	8447
990	8287	8437
991	8295	8429
992	8302	8420
993	8311	8411
994	8318	8402
995	8327	8394
996	8335	8385
997	8342	8376
998	8350	8366
999	8357	8357
1000	8365	8348
1001	8372	8339
1002	8380	8330
1003	8388	8321
1004	8397	8313
1005	8405	8305
1006	8412	8295
1007	8420	8287
1008	8429	8279
1009	8436	8269
1010	8444	8260
1011	8451	8251
1012	8459	8242
1013	8467	8233
1014	8477	8227
1015	8486	8218
1016	8493	8209
1017	8502	8201
1018	8510	8192
1019	8519	8185
1020	8527	8176
1021	8534	8167
1022	8543	8158
1023	8550	8149
1024	8558	8140
1025	8566	8131
1026	8573	8122
1027	8582	8115
1028	8590	8105
1029	8598	8097
1030	8606	8089
1031	8614	8080
1032	8621	8070
1033	8629	8062
1034	8637	8053
1035	8645	8044
1036	8652	8035
1037	8660	8026
1038	8668	8017
1039	8676	8008
1040	8684	8000
1041	8692	7991
1042	8700	7983
1043	8708	7974
1044	8717	7966
1045	8725	7957
1046	8732	7948
1047	8739	7939
1048	8747	7930
1049	8755	7921
1050	8762	7912
1051	8770	7903
1052	8778	7894
1053	8786	7885
1054	8794	7877
1055	8801	7868
1056	8809	7859
1057	8818	7851
1058	8825	7841
1059	8832	7832
1060	8840	7823
1061	8847	7814
1062	8854	7805
1063	8861	7795
1064	8869	7786
1065	8877	7778
1066	8885	7769
1067	8894	7762
1068	8902	7752
1069	8909	7743
1070	8916	7734
1071	8924	7725
1072	8931	7716
1073	8939	7707
1074	8947	7698
1075	8954	7689
1076	8962	7680
1077	8970	7672
1078	8977	7663
1079	8984	7653
1080	8993	7645
1081	9000	7636
1082	9009	7628
1083	9016	7619
1084	9024	7610
1085	9030	7600
1086	9037	7590
1087	9045	7581
1088	9052	7572
1089	9060	7564
1090	9067	7554
1091	9075	7546
1092	9082	7536
1093	9090	7527
1094	9098	7519
1095	9105	7510
1096	9113	7501
1097	9120	7492
1098	9128	7483
1099	9136	7474
1100	9143	7465
1101	9150	7456
1102	9158	7448
1103	9166	7439
1104	9174	7430
1105	9181	7421
1106	9189	7413
1107	9197	7404
1108	9205	7396
1109	9212	7386
1110	9220	7378
1111	9227	7368
1112	9234	7359
1113	9242	7350
1114	9249	7341
1115	9257	7333
1116	9265	7324
1117	9272	7314
1118	9280	7306
1119	9288	7298
1120	9295	7289
1121	9304	7280
1122	9311	7272
1123	9319	7263
1124	9327	7254
1125	9335	7246
1126	9343	7237
1127	9351	7228
1128	9357	7219
1129	9365	7210
1130	9372	7201
1131	9380	7193
1132	9388	7184
1133	9395	7175
1134	9403	7166
1135	9410	7157
1136	9418	7148
1137	9425	7139
1138	9432	7130
1139	9440	7121
1140	9448	7113
1141	9455	7104
1142	9463	7095
1143	9470	7086
1144	9479	7078
1145	9487	7070
1146	9495	7061
1147	9504	7053
1148	9511	7044
1149	9518	7035
1150	9525	7026
1151	9533	7017
1152	9541	7009
1153	9549	7000
1154	9557	6992
1155	9565	6983
1156	9573	6975
1157	9580	6966
1158	9589	6958
1159	9596	6949
1160	9604	6940
1161	9612	6932
1162	9620	6924
1163	9628	6915
1164	9635	6906
1165	9643	6897
1166	9650	6888
1167	9657	6879
1168	9665	6871
1169	9672	6861
1170	9679	6852
1171	9686	6843
1172	9693	6834
1173	9700	6825
1174	9708	6816
1175	9716	6808
1176	9722	6798
1177	9731	6790
1178	9738	6781
1179	9746	6773
1180	9754	6764
1181	9761	6755
1182	9770	6747
1183	9777	6738
1184	9786	6730
1185	9793	6721
1186	9801	6713
1187	9808	6704
1188	9816	6695
1189	9824	6687
1190	9831	6678
1191	9838	6669
1192	9846	6660
1193	9854	6651
1194	9861	6643
1195	9868	6634
1196	9876	6625
1197	9883	6616
1198	9891	6607
1199	9898	6598
1200	9904	6589
1201	9911	6580
1202	9920	6572
1203	9927	6563
1204	9935	6554
1205	9943	6546
1206	9951	6538
1207	9958	6529
1208	9967	6521
1209	9973	6511
1210	9981	6502
1211	9988	6494
1212	9996	6486
1213	10004	6477
1214	10012	6469
1215	10020	6460
1216	10028	6452
1217	10034	6442
1218	10041	6433
1219	10048	6424
1220	10056	6416
1221	10064	6407
1222	10072	6399
1223	10079	6390
1224	10087	6381
1225	10095	6373
1226	10103	6364
1227	10111	6356
1228	10118	6347
1229	10126	6339
1230	10134	6330
1231	10141	6321
1232	10149	6313
1233	10156	6304
1234	10164	6296
1235	10171	6287
1236	10179	6279
1237	10215	6287
1238	10240	6290
1239	10254	6285
1240	10267	6279
1241	10277	6272
1242	10286	6264
1243	10295	6256
1244	10302	6247
1245	10310	6238
1246	10316	6229
1247	10323	6220
1248	10330	6211
1249	10339	6203
1250	10345	6194
1251	10353	6185
1252	10361	6177
1253	10367	6167
1254	10376	6159
1255	10384	6151
1256	10391	6142
1257	10398	6133
1258	10405	6124
1259	10413	6115
1260	10420	6106
1261	10428	6098
1262	10436	6089
1263	10445	6082
1264	10452	6073
1265	10461	6065
1266	10470	6057
1267	10479	6049
1268	10488	6041
1269	10498	6034
1270	10508	6027
1271	10548	6037
1272	10585	6045
1273	10599	6040
1274	10610	6033
1275	10619	6025
1276	10629	6018
1277	10638	6010
1278	10646	6001
1279	10656	5994
1280	10664	5985
1281	10674	5978
1282	10682	5969
1283	10690	5961
1284	10699	5953
1285	10707	5944
1286	10714	5936
1287	10722	5927
1288	10730	5918
1289	10737	5909
1290	10745	5901
1291	10753	5892
1292	10760	5883
1293	10768	5874
1294	10776	5866
1295	10783	5857
1296	10792	5849
1297	10799	5840
1298	10808	5833
1299	10816	5824
1300	10824	5815
1301	10832	5807
1302	10840	5799
1303	10848	5790
1304	10856	5781
1305	10864	5773
1306	10871	5764
1307	10878	5755
1308	10885	5746
1309	10893	5737
1310	10900	5728
1311	10908	5720
1312	10916	5711
1313	10923	5702
1314	10931	5694
1315	10939	5685
1316	10946	5676
1317	10954	5668
1318	10962	5660
1319	10971	5651
1320	10979	5643
1321	10987	5635
1322	10995	5626
1323	11003	5618
1324	11011	5609
1325	11018	5600
1326	11026	5592
1327	11034	5583
1328	11043	5575
1329	11052	5567
1330	11059	5558
1331	11066	5549
1332	11076	5542
1333	11089	5536
1334	11102	5530
1335	11109	5521
1336	11119	5513
1337	11129	5506
1338	11140	5499
1339	11150	5491
1340	11158	5483
1341	11165	5474
1342	11178	5468
1343	11194	5463
1344	11205	5456
1345	11212	5447
1346	11222	5440
1347	11230	5431
1348	11241	5425
1349	11251	5417
1350	11260	5409
1351	11270	5401
1352	11277	5392
1353	11285	5384
1354	11294	5376
1355	11305	5369
1356	11313	5360
1357	11320	5351
1358	11327	5342
1359	11334	5334
1360	11341	5324
1361	11349	5316
1362	11356	5307
1363	11364	5299
1364	11373	5291
1365	11381	5282
